Title,Cost
A System View of Communications: From Signals to Packets (Part 3),$50.00 Certificate Available
Embedded Systems - Shape The World: Multi-Threaded Interfacing,$199.00 Certificate Available
Nano @ Stanford,$29.00 Certificate Available
Solar Resource Assessment in Desert Climates,$99.00 Certificate Available
Electric and Conventional Vehicles,"6 weeks long, 10-20 hours a week"
Principles of Manufacturing,"
          $1,400.00
        "
Mathematical Optimization for Engineers,$99.00 Certificate Available
Railway Engineering: An Integral Approach,$99.00 Certificate Available
Introduction to air transportation and aviation management,$99.00 Certificate Available
Management in Engineering: Accounting and Planning,$175.00 Certificate Available
Smart Grids: Electricity for the Future,4 weeks long
Entrepreneurship for Engineers,"8 weeks long, 2-3 hours a week"
Manufacturing Process Control I,"8 weeks long, 10-12 hours a week"
Dynamics,4 weeks long
Mechanical Behavior of Materials,15 weeks long
Underactuated Robotics,"4 weeks long, 8-10 hours a week"
Introduction to Aerodynamics,"15 weeks long, 10-14 hours a week"
Hypersonics – from Shock Waves to Scramjets,$199.00 Certificate Available
Fundamentals of Manufacturing Processes,"14 weeks long, 4-6 hours a week"
Water and Wastewater Treatment Engineering: Biochemical Technology | 水处理工程：生物化学方法,$139.00 Certificate Available
Engineering: Building with Nature,$139.00 Certificate Available
Redes de difracción en comunicaciones ópticas,$29.00 Certificate Available
Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"4 weeks long, 3-5 hours a week"
Diseño de diques rompeolas con cubípodos,"7 weeks long, 3-4 hours a week"
Introducción a los circuitos eléctricos,$49.00 Certificate Available
Computation Structures - Part 1: Digital Circuits,10 weeks long
Nanotechnology: Fundamentals of Nanotransistors,4 weeks long
Flight Vehicle Aerodynamics,16 weeks long
Electrotechnique II,$139.00 Certificate Available
Fiber Optic Communications,"5 weeks long, 7-9 hours a week"
Advanced Transport Phenomena,$139.00 Certificate Available
Energía eléctrica: conceptos y principios básicos,$49.00 Certificate Available
Forensic Engineering: Learning from Failures,$139.00 Certificate Available
Data Analytics in Business,4 weeks long
ENGR1.0x: Introduction to Engineering and Engineering Mathematics,Paid Certificate Available
Observation Theory: Estimating the Unknown,"6 weeks long, 4-6 hours a week"
Cognitive Neuroscience Robotics – Part A,"4 weeks long, 3-4 hours a week"
Introduction to Steel,$49.00 Certificate Available
So You Want to Be a Biomedical Engineer,"4 weeks long, 2-3 hours a week"
Hybrid Vehicles,"6 weeks long, 10-20 hours a week"
Innovation and Competition: Succeeding through Global Standards,"6 weeks long, 12-18 hours a week"
Composite Materials Overview for Engineers,10 weeks long
Pronóstico de la generación de energía eólica y solar fotovoltaica,"4 weeks long, 3-4 hours a week"
"Signals and Systems, Part 1","10 weeks long, 4-6 hours a week"
Introduction to Computer Numerical Control,$49.00 Certificate Available
Robotics Foundations I - Robot Modeling,$60.00 Certificate Available
Robotics,"10 weeks long, 8-10 hours a week"
Exploring Humans’ Space: An Introduction to Geographicity,$139.00 Certificate Available
Computational Thinking for Modeling and Simulation,"9 weeks long, 3-5 hours a week"
Principles of Electric Circuits | 电路原理,$139.00 Certificate Available
Liderando el Desarrollo Sostenible de las Ciudades,6 weeks long
Drones and Autonomous Systems I: Fundamentals,"6 weeks long, 2-3 hours a week"
Dynamics and Control,$50.00 Certificate Available
Introduction to Engineering,"8 weeks long, 4-6 hours a week"
Robotics: Kinematics and Mathematical Foundations,"12 weeks long, 8-10 hours a week"
Solar Energy: Photovoltaic (PV) Systems,$250.00 Certificate Available
Solar Energy: Integration of Photovoltaic Systems in Microgrids,$250.00 Certificate Available
Solar Energy: Photovoltaic (PV) Energy Conversion,$250.00 Certificate Available
Solar Energy: Photovoltaic (PV) Technologies,$250.00 Certificate Available
"Robot Mechanics and Control, Part I",4 weeks long
"Symmetry, Structure and Tensor Properties of Materials","4 weeks long, 8-10 hours a week"
Organic Electronic Devices,4 weeks long
Organic Electronic Devices,"4 weeks long, 7-8 hours a week"
Introducción a la Ingeniería del Helicóptero,4 weeks long
The Biology of Water and Health - Sustainable Interventions,"4 weeks long, 3-6 hours a week"
Principles of Electronic Biosensors,"10 weeks long, 5-6 hours a week"
Introduction to Control System Design - A First Look,"4 weeks long, 5-6 hours a week"
Introduction to State Space Control,"4 weeks long, 4-6 hours a week"
Biological Engineering: Cellular Design Principles,"7 weeks long, 2-3 hours a week"
Cellular Solids Part 3: Applications in Nature,3 weeks long
The Physics of Electronic Polymers (PEP),"10 weeks long, 3-4 hours a week"
Desarrollo Urbano y Vivienda,7 weeks long
Introducción al Control Numérico por Computadora,"4 weeks long, 2-3 hours a week"
Optical Materials and Devices,"6 weeks long, 8-12 hours a week"
Robotics: Dynamics and Control,"12 weeks long, 8-10 hours a week"
Robotics: Vision Intelligence and Machine Learning,"12 weeks long, 8-10 hours a week"
Magnetic Materials and Devices,"4 weeks long, 8-12 hours a week"
From Atoms to Materials: Predictive Theory and Simulations,"10 weeks long, 4-6 hours a week"
Liderando o desenvolvimento sustentável das cidades,6 weeks long
Robotics: Locomotion Engineering,"12 weeks long, 8-10 hours a week"
Mécanique des Fluides,"8 weeks long, 6-8 hours a week"
"Signals and Systems, Part 2","10 weeks long, 4-6 hours a week"
Introduction to Urban Geo-Informatics,"6 weeks long, 4-6 hours a week"
Micro and Nanofabrication (MEMS),$199.00 Certificate Available
Explorer l’espace des humains: une introduction à la géographicité,$139.00 Certificate Available
Le robot Thymio comme outil de découverte des sciences du numérique,$50.00 Certificate Available
Introduction to Engineering and Design,"3 weeks long, 2-3 hours a week"
Principles of Biomanufacturing: Using Biotechnology to Manufacture Medicines,"
          Paid Course
        "
Cement Chemistry and Sustainable Cementitious Materials,$199.00 Certificate Available
"Structure of Materials, Part 1: Fundamentals of Materials Structure","5 weeks long, 6-8 hours a week"
"Structure of Materials, Part 2: The Crystalline State","5 weeks long, 8-10 hours a week"
Лазеры: физические основы и лазерные технологии,$49.00 Certificate Available
"Structure of Materials, Part 3: Liquid Crystals, Defects, and Diffusion","6 weeks long, 6-8 hours a week"
Программные средства CAD,"5 weeks long, 4-6 hours a week"
Energy Systems Integration: A Trend or a Revolution?,"5 weeks long, 7-8 hours a week"
Vacuum Systems and Technology,$49.00 Certificate Available
Electronique II,$139.00 Certificate Available
Electronique I,$139.00 Certificate Available
Entrepreneurial Land Redevelopment Approach: Land Readjustment,"5 weeks long, 3-5 hours a week"
Conversion électromécanique II,$139.00 Certificate Available
Hyperloop: Changing the Future of Transportation,"6 weeks long, 4-6 hours a week"
Solar Energy Engineering: Comprehensive Exams,$250.00 Certificate Available
Research Methods: An Engineering Approach,"8 weeks long, 2-3 hours a week"
High Performance Finite Element Modeling,"18 weeks long, 1-2 hours a week"
Monozukuri: Making Things,$49.00 Certificate Available
Monitoreo de Bosques con CLASlite,"1 week long, 8-10 hours a week"
High Performance Finite Element Modeling – Part 2,"7 weeks long, 5-7 hours a week"
Introduction to Haptics,$129.00 Certificate Available
Dispositivos Móviles para la Gestión del Territorio,"6 weeks long, 3-4 hours a week"
Master’s Degree in Electrical and Computer Engineering,Not Found
Master’s Degree in Mechanical Engineering,Not Found
Structure of Materials,"16 weeks long, 6-8 hours a week"
Modeling and simulation of multibody systems,"14 weeks long, 10-11 hours a week"
Analysis of Transport Phenomena I: Mathematical Methods,"17 weeks long, 10-12 hours a week"
"Electrical, Optical & Magnetic Materials and Devices","16 weeks long, 8-12 hours a week"
Knowledge Management in Nuclear Energy Organizations,$49.00 Certificate Available
Embedded Systems Essentials with Arm: Getting Started,$99.00 Certificate Available
e-Learning course on Innovative Business Models for Expanding Fiber-Optic Networks and Closing the Access Gaps,$5.00 Certificate Available
Scienza delle costruzioni,$60.00 Certificate Available
Robot Development,$60.00 Certificate Available
Introduction to Discrete Choice Models,$169.00 Certificate Available
Die digitale Welt mit dem Thymio Roboter entdecken,$50.00 Certificate Available
Master's Degree in Civil Engineering,Not Found
Introduction to the Modern Nanotechnology,$49.00 Certificate Available
Cyber-Physical Systems,"4 weeks long, 4-12 hours a week"
Engineering Drawing | 工程制图,"16 weeks long, 2-3 hours a week"
Innovative Business Models for Expanding Broadband and Closing the Access Gaps,"2 weeks long, 2-3 hours a week"
水力学 | Hydraulics,"10 weeks long, 3-4 hours a week"
Signals and Systems | 信号与系统,"12 weeks long, 3-4 hours a week"
Photoelectric Instrument Design | 光电仪器设计,"12 weeks long, 3-4 hours a week"
"Electronic, Optical, and Magnetic Properties of Materials","15 weeks long, 11-13 hours a week"
Ethical Dilemmas in Professional Engineering,"4 weeks long, 2-3 hours a week"
Embedded Systems Essentials with Arm: Get Practical with Hardware,$99.00 Certificate Available
"Capstone Exam – Materials for Electronic, Optical, and Magnetic Devices","1 week long, 3-5 hours a week"
Photonic Integrated Circuits 1,"8 weeks long, 15-20 hours a week"
Drones and Autonomous Systems 2: Applications in Emergency Management,"6 weeks long, 2-3 hours a week"
Elastic Stability and Behavior of Members,"5 weeks long, 6-7 hours a week"
"Science, Engineering, AI & Data Ethics |  科学技術・AI倫理",$99.00 Certificate Available
Fundamentos de robótica I - Modelado de robots,$59.00 Certificate Available
Strengthening Geospatial Information Management: Using the Integrated Geospatial Information Framework,"4 weeks long, 2-3 hours a week"
Strengthening Geospatial Information Management: Using the Integrated Geospatial Information Framework (Virtual Knowledge Exchange),"4 weeks long, 2-3 hours a week"
Fundamentals of Optical Engineering | 光学工程基础,"12 weeks long, 5-10 hours a week"
Introduction to Magma: Cloud Native Wireless Networking,$149.00 Certificate Available
Stability and Design of Structural Members,"5 weeks long, 5-6 hours a week"
"Cellular Solids Part 1: Structures, Properties and Engineering Applications",$99.00 Certificate Available
Cellular Solids Part 3: Applications in Nature,$49.00 Certificate Available
Cellular Solids Part 2: Applications in Medicine,$49.00 Certificate Available
Introduction to Computational Materials Design,"8 weeks long, 3-5 hours a week"
"Principles of Modeling, Simulations, and Control for Electric Energy Systems","12 weeks long, 8-12 hours a week"
Introduction to Energy Management Powered by RETScreen,$200.00 Certificate Available
Introduction à la gestion énergétique avec RETScreen,$200.00 Certificate Available
Fundamentals of Integrated Photonics,"4 weeks long, 5-6 hours a week"
"Data Science for Construction, Architecture and Engineering",$199.00 Certificate Available
Primer on RF Design,"6 weeks long, 6-9 hours a week"
Fundamentals of Nanomaterials and Nanotechnology,"5 weeks long, 2-3 hours a week"
Digital Design,$149.00 Certificate Available
RF System Design,"5 weeks long, 6-9 hours a week"
Nanomaterials for Civil and Environmental Applications,"5 weeks long, 2-3 hours a week"
L’eau et les sols - Hydrodynamique des milieux poreux,$99.00 Certificate Available
Mentoring engineers with impact,"6 weeks long, 1-2 hours a week"
Future Robots,$60.00 Certificate Available
RF Design: Passive and Active Components,"6 weeks long, 6-9 hours a week"
Nano-Device for Energy Harvesting and Sensing,"5 weeks long, 2-3 hours a week"
Drones and Autonomous Systems,"
          $298.00
        "
Structural Design,"
          $4,500.00
        "
Project MARCH: behind the technology of robotic exoskeletons,"6 weeks long, 4-6 hours a week"
Fundamentals of Building Information Modeling,"5 weeks long, 6-9 hours a week"
Advanced Fluid Mechanics 1: Fundamentals,"12 weeks long, 8-12 hours a week"
Parametric Designs in Revit,$139.00 Certificate Available
The Mechatronics Revolution: Fundamentals and Core Concepts,"16 weeks long, 6-8 hours a week"
Multidisciplinary Research Methods for Engineers,$99.00 Certificate Available
AI and Robotics: A blessing or a curse?,$139.00 Certificate Available
Design of mound breakwaters for feasibility studies. Cubipod® Manual 2016,$49.00 Certificate Available
Introducción a Oil Country Tubular Goods (OCTG),$49.00 Certificate Available
The Minerals and Mining Business,$399.00 Certificate Available
Conversion électromécanique I,$135.00 Certificate Available
BIM for Construction,"6 weeks long, 6-9 hours a week"
Nanophotonic Modeling,"5 weeks long, 8-9 hours a week"
Wells Hydraulics,"6 weeks long, 3-5 hours a week"
Wave-Based NDT Methods,"6 weeks long, 2-3 hours a week"
Engineering the Space Shuttle,"12 weeks long, 4-5 hours a week"
Automóviles eléctricos: Tecnología,$49.00 Certificate Available
Automóviles eléctricos: Negocios,$49.00 Certificate Available
Automóviles eléctricos: Política,$49.00 Certificate Available
Automóviles eléctricos: Introducción,$49.00 Certificate Available
Hello (Real) World with ROS – Robot Operating System,"7 weeks long, 8-12 hours a week"
Introduction to Aerospace Structures and Materials,$139.00 Certificate Available
Engineering Vibration I: Introduction: Single-Degree-of-Freedom Systems,"5 weeks long, 3-8 hours a week"
Electromagnetic Compatibility Essentials,$100.00 Certificate Available
Groundwater Contamination,"5 weeks long, 3-5 hours a week"
Electrical-Based Non-Destructive Testing and Sensing,"5 weeks long, 2-3 hours a week"
Introducción a la gestión energética con RETScreen,$49.00 Certificate Available
Tsunamis and Storm Surges: Introduction to Coastal Disasters,$49.00 Certificate Available
AC and Switching Circuits,$139.00 Certificate Available
Energy Subsidy Reform,$25.00 Certificate Available
Microstructural Evolution in Materials: Phase Transformations,$49.00 Certificate Available
Herramientas de Teledetección óptica y SAR,$29.00 Certificate Available
Plastics in Infrastructure and the Environment,"8 weeks long, 6-8 hours a week"
有限元分析与应用 | Finite Element Method (FEM) Analysis and Applications,$139.00 Certificate Available
Fundamentos de Comunicaciones Ópticas,$49.00 Certificate Available
Digitalization of Intelligent and Integrated Energy Systems,$149.00 Certificate Available
Il robot Thymio come strumento di scoperta delle scienze digitali,$135.00 Certificate Available
"Biomaterials and Biofabrication: Design, Engineering and Innovation",$99.00 Certificate Available
La Reforma Energética de México y sus oportunidades,$29.00 Certificate Available
La nueva industria eléctrica en México,$29.00 Certificate Available
Transmisión de energía eléctrica,$49.00 Certificate Available
Smart grid: las redes eléctricas del futuro,$49.00 Certificate Available
Smart grid: fundamentos técnicos,$49.00 Certificate Available
Water Surface Waves: Small-amplitude waves,"4 weeks long, 2-4 hours a week"
Water Surface Waves: Finite-amplitude waves,"4 weeks long, 2-4 hours a week"
Building Applications with RISC-V and FreeRTOS,$129.00 Certificate Available
Renewable Energy for Arctic Food and Water Security,$199.00 Certificate Available
Introducción al Control Numérico por Computadora,$49.00 Certificate Available
3D GIS,$149.00 Certificate Available
GIS Foundations,$149.00 Certificate Available
GIS Image Analysis in ArcGIS Pro,$149.00 Certificate Available
Foundations of Microgrids,$199.00 Certificate Available
Electricity Distribution,$139.00 Certificate Available
Sensor Fusion and Non-linear Filtering for Automotive Systems,"8 weeks long, 10-20 hours a week"
Microcontroller Applications with RISC-V,$149.00 Certificate Available
Introduction to Optimization,"8 weeks long, 2-3 hours a week"
Real-Time Bluetooth Networks - Shape the World,$199.00 Certificate Available
Modeling and Simulation of Multibody Systems - Part II,$139.00 Certificate Available
Machine Learning at the Edge on Arm: A Practical Introduction,$99.00 Certificate Available
Modeling and Simulation of Multibody Systems - Part I,$139.00 Certificate Available
Using Photovoltaic (PV) Technology in Desert Climates,$99.00 Certificate Available
Caer o No caer. El Secreto de las Estructuras.,$29.00 Certificate Available
Methods and Application in Human-Robot Interaction,$249.00 Certificate Available
Introducción a los Sistemas de Información Geográfica,"4 weeks long, 5-6 hours a week"
Model-Based Automotive Systems Engineering,"7 weeks long, 10-20 hours a week"
Introduction to Human-Robot Interaction,$249.00 Certificate Available
Intelligent and Integrated Energy Systems in Transition: an introduction for decision-makers,"6 weeks long, 4-6 hours a week"
Ultra-dense networks for 5G and its evolution,$129.00 Certificate Available
Technology of Intelligent and Integrated Energy Systems,$149.00 Certificate Available
Business Implications of Intelligent and Integrated Energy Systems,$149.00 Certificate Available
Sustainable Energy: Design a Renewable Future,$50.00 Certificate Available
Introducción a la optimización,$49.00 Certificate Available
Semiconductors for Beginners,$139.00 Certificate Available
Model-based Systems Engineering: Foundations,$149.00 Certificate Available
Identificación por Radiofrecuencia RFID,$25.00 Certificate Available
Hydraulique fluviale 2 : Sédiments et morphologie fluviale,$99.00 Certificate Available
Model-based Systems Engineering: Advanced Approaches with OPM,$149.00 Certificate Available
Designing Climate-Neutral Industry and Electricity Generation,$149.00 Certificate Available
Sustainable Engineering Design,"
          $248.00
        "
Transport Phenomena,"
          $278.00
        "
Inteligencia Artificial y Robótica,"
          $147.00
        "
Model-Based Systems Engineering - MBSE,"
          $298.00
        "
Solar Energy in Hot Desert Climates,"
          $198.00
        "
Nanoscience and Technology,"
          $4,500.00
        "
Solar Energy Engineering,"
          $1,250.00
        "
Leadership Essentials for Engineers,"
          $447.00
        "
Electrónica básica,"
          $147.00
        "
Circuits and Electronics,"
          $507.00
        "
Engineering Project Management: Mastering Project Complexity,"
          $298.00
        "
Engineering Project Management: Project Financing,"
          $298.00
        "
Bases matemáticas para estudiar ingeniería,"
          $116.00
        "
"xMinor in Materials for Electronic, Optical, and Magnetic Devices","
          $600.00
        "
Fundamentos de Física para ingeniería,"
          $87.00
        "
Buildings as Sustainable Energy Systems,"
          $516.00
        "
Reliability and Decision Making in Engineering Design,"
          $4,500.00
        "
Automóviles eléctricos,"
          $196.00
        "
Embedded Systems Essentials with Arm,"
          $198.00
        "
Geographic Information Systems (GIS) Essentials,"
          $447.00
        "
Human-Robot Interaction,"
          $498.00
        "
Materials Engineering for Intelligent Infrastructure,"
          $4,500.00
        "
Intelligent and Integrated Energy Systems,"
          $596.00
        "
Modeling and Simulation of Multibody Systems,"
          $278.00
        "
Solar Energy,"
          $597.00
        "
Semiconductor Fundamentals,$750.00 Certificate Available
Fundamentals of Current Flow,$750.00 Certificate Available
Solid State Devices 1,"$2,250.00 Certificate Available"
Manufacturing Systems I,$175.00 Certificate Available
Management in Engineering: Strategy and Leadership,$175.00 Certificate Available
"Solar Energy:  Photovoltaic Materials, Devices, and Modules",$199.00 Certificate Available
Comfort and Health in Buildings,$139.00 Certificate Available
Dynamic Energy Modelling of Buildings: Thermal Simulation,$99.00 Certificate Available
Efficient HVAC Systems,$99.00 Certificate Available
Energy Supply Systems for Buildings,$99.00 Certificate Available
Energy Demand in Buildings,$139.00 Certificate Available
Drones for Agriculture: Prepare and Design Your Drone (UAV) Mission,$169.00 Certificate Available
Fundamentals of Transistors,$750.00 Certificate Available
5G Deployment,$199.00 Certificate Available
Solar Energy: Photovoltaic Systems and their Applications,$199.00 Certificate Available
Supply Chains for Manufacturing: Inventory Analytics,$175.00 Certificate Available
Manufacturing Systems II,$175.00 Certificate Available
Boltzmann Law: Physics to Computing,$750.00 Certificate Available
Engineering Design for a Circular Economy,$149.00 Certificate Available
Reliability in Engineering Design,"$2,250.00 Certificate Available"
Solar Energy Engineering: Comprehensive Exams,"52 weeks long, 4-6 hours a week"
5G Essentials,$199.00 Certificate Available
Manufacturing Process Control II,$175.00 Certificate Available
Solar Energy: From Fundamentals to its Role in the Energy Transition,$199.00 Certificate Available
04832430X: Electronic Circuits,"



                        23rd Sep, 2013
                      

"
Principles of Electric Circuits: Part 1,8 weeks long
Principles of Electric Circuits: Part 2,9 weeks long
Introduction to Aeronautical Engineering,10 weeks long
"Sense101x: Sense, Control, Act: Measure the Universe, Transform the World",Certificate Available
Stuff You Don't Learn in Engineering School,"4 weeks long, 2-3 hours a week"
National Electrical Safety Code Overview,4 weeks long
Introduction to Engineering: Imagine. Design. Engineer!,"16 weeks long, 6-8 hours a week"
Simulation and Modeling for Engineering and Science,"15 weeks long, 8-10 hours a week"
Mechanics of Deformable Structures: Part 1,"12 weeks long, 10-12 hours a week"
Mechanics of Deformable Structures: Part 2,"8 weeks long, 10-12 hours a week"
Energy Principles and Renewable Energy,$375.00 Certificate Available
"Understanding Wireless: Technology, Economics, and Policy","6 weeks long, 5-7 hours a week"
Design of Steel-Concrete Composite Structures,"8 weeks long, 2-3 hours a week"
Fundamentals of Prestressed Concrete,"6 weeks long, 3-4 hours a week"
Pretensioned Structures,"5 weeks long, 3-4 hours a week"
Connections in Steel Structures,"8 weeks long, 2-3 hours a week"
Steel Beam and Plate Girder Design,"8 weeks long, 2-3 hours a week"
Post-Tensioned Structures,"6 weeks long, 3-4 hours a week"
Analysis of Transport Phenomena II: Applications,"17 weeks long, 10-12 hours a week"
Decision Making in Engineering Design,"17 weeks long, 8-9 hours a week"
Lighting and Daylighting Design of Buildings,"$2,250.00 Certificate Available"
Communication for Engineering Leaders,$750.00 Certificate Available
UAS Mapping: Basic Principles,$750.00 Certificate Available
UAS Photogrammetric Mapping,$750.00 Certificate Available
UAS LiDAR Mapping,$750.00 Certificate Available
Supply Chains for Manufacturing: Capacity Analytics,"9 weeks long, 10-12 hours a week"
Lightweight Design,$139.00 Certificate Available
Circuits for Beginners,$139.00 Certificate Available
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",$149.00 Certificate Available
Bioseguridad y equipo de protección para la prevención de COVID-19,$29.00 Certificate Available
Introducción a la Regulación Emocional basada en Mindfulness,$29.00 Certificate Available
"Nutrition, Exercise and Sports",$169.00 Certificate Available
Riesgo biológico y bioseguridad en el entorno laboral,"4 weeks long, 4-5 hours a week"
"Nutrition, Heart Disease and Diabetes",$149.00 Certificate Available
Nutrition and Health: Micronutrients and Malnutrition,$199.00 Certificate Available
Nutrition and Health: Macronutrients and Overnutrition,$199.00 Certificate Available
Mechanical Ventilation for COVID-19,"1 week long, 2-5 hours a week"
Crisis Resource Management,$50.00 Certificate Available
FlashDiet: Aprende a comer sano,$50.00 Certificate Available
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,$29.00 Certificate Available
Cómo vivir una vida saludable y activa,$29.00 Certificate Available
Nutrition and Cancer,$149.00 Certificate Available
PredictionX: John Snow and the Cholera Epidemic of 1854,$69.00 Certificate Available
Fundamentals of Clinical Trials,"4 weeks long, 4-6 hours a week"
Humanitarian Response to Conflict and Disaster,$99.00 Certificate Available
Human Anatomy: Musculoskeletal Cases,$139.00 Certificate Available
Managing Addiction: A Framework for Successful Treatment,$199.00 Certificate Available
Gestión del estrés y Mindfulness,$49.00 Certificate Available
Health and Society,4 weeks long
"Fundamentals of Immunology, Part 1","4 weeks long, 7-10 hours a week"
Introduction to Health and Wellness,"8 weeks long, 18-20 hours a week"
Thinking Critically: Interpreting Randomized Clinical Trials,"1 week long, 2-3 hours a week"
Partnering with the Public and Patients in Medical Research,"5 weeks long, 1-2 hours a week"
Trasplante de órganos: desafíos éticos y jurídicos,$29.00 Certificate Available
"Dementia and Diversity in Primary Care: A Primer - Guidelines, Ethnic Differences, and Assessment","1 week long, 1-2 hours a week"
Global Public Health,$49.00 Certificate Available
Microbiologia e immunologia,$60.00 Certificate Available
Medicinal Chemistry: The Molecular Basis of Drug Discovery,"7 weeks long, 6-8 hours a week"
Improving Global Health: Focusing on Quality and Safety,$99.00 Certificate Available
Epidemics | 流行病学,"4 weeks long, 2-3 hours a week"
An Introduction to Global Health,"6 weeks long, 2-5 hours a week"
Healthcare Finance,"20 weeks long, 4-6 hours a week"
Unconscious Bias in Medicine,"1 week long, 1-2 hours a week"
Type 2 Diabetes Management,"1 week long, 1-2 hours a week"
Shared Decision Making and Interprofessional Collaboration in Health Care,"6 weeks long, 2-4 hours a week"
COVID-19 in Slums & Informal Settlements: Guidelines & Responses,"4 weeks long, 2-4 hours a week"
Anatomy: Human Neuroanatomy,$49.00 Certificate Available
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",$199.00 Certificate Available
"Fundamentals of Immunology, Part 2","4 weeks long, 8-10 hours a week"
De la granja a la mesa: La seguridad alimentaria en la Unión Europea,$29.00 Certificate Available
Becoming a Resilient Person - The Science of Stress Management,"8 weeks long, 2-3 hours a week"
Take Your Medicine - The Impact of Drug Development,9 weeks long
Going Out on a Limb: Anatomy of the Upper Limb,"6 weeks long, 2-3 hours a week"
CARE: Introduction to Caregiving for Older Adults,"5 weeks long, 1-3 hours a week"
Focused Bedside TTE and Ultrasound,"5 weeks long, 5-10 hours a week"
Global Health Case Studies from a Biosocial Perspective,12 weeks long
The Immune System: New Developments in Research - Part 1,"4 weeks long, 4-6 hours a week"
Healthy Ageing in 6 Steps. Let your environment do the work.,"6 weeks long, 2-3 hours a week"
Readings in Global Health (2017),"10 weeks long, 3-6 hours a week"
Fighting HIV with Antiretroviral Therapy: Implementing the Treat-All Approach,"6 weeks long, 2-3 hours a week"
Ortodoncia: tratamientos dentales sencillos para casos complejos,"5 weeks long, 9-10 hours a week"
CARE: Supporting Older Adult Personal Care & Independence - Part 1 of 2,"5 weeks long, 1-3 hours a week"
From Brain to Symptom – Introduction to Neuroscientific Psychiatry,"3 weeks long, 3-4 hours a week"
An Evidence-Based Approach to the Diagnosis and Management of Migraines in Adults in the Primary Care and General Neurology Setting,"1 week long, 1-3 hours a week"
Hypertension in Primary Care – Improving Control and Reducing Risk,"1 week long, 1-2 hours a week"
Thinking Critically Series: Interpreting Screening Trials,"1 week long, 2-3 hours a week"
Dementia and Diversity in Primary Care: Latino Populations,"1 week long, 1-2 hours a week"
Congenital Hypothyroidism: What Every Primary Care Provider Needs to Know,"1 week long, 1-2 hours a week"
Identifying Early Signs of Psychosis in Adolescents and Young Adults,"1 week long, 1-2 hours a week"
Presentation and Management of Pediatric Acute-Onset Neuropsychiatric Syndrome (PANS),"2 weeks long, 2-3 hours a week"
SafetyQuest: Level One - QI Basics,"1 week long, 2-3 hours a week"
Covid - 19: Ventilación mecánica para no intensivistas,"2 weeks long, 3-5 hours a week"
Interprofessional Education for 21st Century Care,$50.00 Certificate Available
Healthcare Organization and Delivery Models,$99.00 Certificate Available
COVID-19 Training for Healthcare Workers,$10.00 Certificate Available
Measuring Health Outcomes in Field Surveys,"9 weeks long, 3-4 hours a week"
Root Canal Preparation,"7 weeks long, 2-3 hours a week"
Overview & Management of Parkinson’s Disease,"5 weeks long, 2-3 hours a week"
Life with Diabetes,"5 weeks long, 3-4 hours a week"
The COVID-19 Pandemic and the Use of mRNA Vaccines,"2 weeks long, 2-3 hours a week"
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",$49.00 Certificate Available
Anatomy: Musculoskeletal and Integumentary Systems,$49.00 Certificate Available
Communicating with Presence,1 week long
Virtual Care with Presence,1 week long
Manejo del estrés desde la neurociencia,$49.00 Certificate Available
Fitness corporativo,$49.00 Certificate Available
Lessons from Ebola: Preventing the Next Pandemic,$99.00 Certificate Available
Agua y sales para una vida saludable,$49.00 Certificate Available
The Opioid Crisis in America,$99.00 Certificate Available
Anatomy,"
          $196.00
        "
Sustainable Food Security: Food Access,$199.00 Certificate Available
Health in Numbers: Quantitative Methods in Clinical & Public Health Research,4 weeks long
Health Coaching for Patient Care,"2 weeks long, 5-10 hours a week"
Birds 101: Introduction to Pet Birds,"4 weeks long, 2-3 hours a week"
Able-Minded - Mental Health and People with Intellectual Disability,$99.00 Certificate Available
United States Health Policy,$128.00 Certificate Available
Introduction to Lifestyle Medicine,$99.00 Certificate Available
Introduction to Biomedical Imaging,$169.00 Certificate Available
Medicating for Mental Health: Judicious Use of Psychiatric Drugs,"4 weeks long, 3-6 hours a week"
The Body Matters: Why Exercise Makes You Healthy and How to Stay Uninjured,"10 weeks long, 3-5 hours a week"
Pediatric HIV Nursing,"8 weeks long, 2-3 hours a week"
Introduction a l'immunologie,"14 weeks long, 5-7 hours a week"
Organ Transplantation: Ethical and Legal Challenges,$29.00 Certificate Available
Prescription Drug Misuse and Addiction: Compassionate Care for a Complex Problem,"1 week long, 1-3 hours a week"
To Prescribe or Not To Prescribe? Antibiotics and Outpatient Infections,"1 week long, 1-2 hours a week"
Managing Atrial Fibrillation,"1 week long, 1-2 hours a week"
Antimicrobial Stewardship: Improving Clinical Outcomes By Optimization of Antibiotic Practices,"3 weeks long, 4-10 hours a week"
Introducción a ALT - Tecnología de Asistencia a la Vida,$29.00 Certificate Available
Medical Cannabis,$99.00 Certificate Available
The Science of Weight Loss: Dispelling Diet Myths,$139.00 Certificate Available
Food for Kids: Discovering Healthy Eating,"3 weeks long, 2-3 hours a week"
The Science and Politics of the GMO,"5 weeks long, 3-4 hours a week"
更年期综合管理 | Integrated Health Management Strategies for Menopause,4 weeks long
