Link,Title,Provider,Rating,Num_Reviewer,platform,subject,Entity,Reviewer_Status
/course/evaluacion-educativa-proyecto-final-18110,Proyecto final: Evaluación del y para el aprendizaje,university,5.0,31,coursera,education,unam,ratings at Coursera
/course/create-a-chess-online-course-with-thinkific-22785,Create a chess online course with Thinkific,institution,0.0,50,coursera,education,project-network,ratings at Coursera
/course/designing-learning-innovation-24357,Designing Learning Innovation,university,5.0,103,coursera,education,polimi,ratings at Coursera
/course/educacion-social-21842,Educación Social: Ámbitos de acción y reflexión,university,4.5,1538,coursera,education,uab,ratings at Coursera
/course/creating-interactive-learning-videos-edpuzzle-21405,Creating Interactive Learning Videos with Edpuzzle,institution,0.0,14,coursera,education,project-network,ratings at Coursera
/course/encouraging-student-growth-21406,Encouraging Student Growth with Teach Your Monster to Read,institution,0.0,59,coursera,education,project-network,ratings at Coursera
/course/improving-classroom-management-classdojo-21407,Improving Classroom Management with Class Dojo,institution,0.0,62,coursera,education,project-network,ratings at Coursera
/course/performance-reviews-with-eduflow-22314,Performance Reviews with Eduflow,institution,0.0,62,coursera,education,project-network,ratings at Coursera
/course/training-and-development-with-eduflow-22315,Training and Development with Eduflow,institution,0.0,1191,coursera,education,project-network,ratings at Coursera
/course/student-math-iknowit-22372,Building Students Math Skills with iKnowit,institution,0.0,399,coursera,education,project-network,ratings at Coursera
/course/preparing-for-your-certnexus-certification-exam-22244,Preparing for Your CertNexus Certification Exam,institution,5.0,621,coursera,education,certnexus,ratings at Coursera
/course/aulaconstructivista-4303,Hacia una práctica constructivista en el aula,university,5.0,592,coursera,education,ucchile,ratings at Coursera
/course/quiz-blooket-32171,Host a Quiz Review with Blooket,institution,0.0,487,coursera,education,project-network,ratings at Coursera
/course/inspire-student-learning-with-showbie-33564,Inspire Student Learning with Showbie,institution,0.0,254,coursera,education,project-network,ratings at Coursera
/course/writing-with-writable-elementary-teaching-33573,Growing Great Writers with Writable,institution,0.0,42,coursera,education,project-network,ratings at Coursera
/course/teaching-writing-final-project-45183,Teaching Writing Final Project,university,0.0,61,coursera,education,jhu,ratings at Coursera
/course/teaching-reluctant-writers-45184,Teaching Reluctant Writers,university,0.0,60,coursera,education,jhu,ratings at Coursera
/course/responding-revising-assessing-student-writings-45185,"Responding, Revising and Assessing Student Writings",university,0.0,30,coursera,education,jhu,ratings at Coursera
/course/teaching-texts-forms-45186,Teaching Texts and Forms,university,0.0,133,coursera,education,jhu,ratings at Coursera
/course/teaching-writing-process-45187,Teaching Writing Process,university,4.5,19,coursera,education,jhu,ratings at Coursera
/course/interactive-learning-genially-45972,Support Interactive Learning with Genially,institution,0.0,99,coursera,education,project-network,ratings at Coursera
/course/student-creative-learning-buncee-45973,Unleash Student Creativity with Buncee ,institution,0.0,102,coursera,education,project-network,ratings at Coursera
/course/online-teaching-with-buncee-45974,Use Buncee for Online Teaching,institution,0.0,12,coursera,education,project-network,ratings at Coursera
/course/classroom-visualizations-collaborations-popplet-45976,Visualizing and Collaborating with Popplet,institution,0.0,11,coursera,education,project-network,ratings at Coursera
/course/study-skills-for-university-success-47962,Study Skills for University Success,university,4.5,23,coursera,education,uci,ratings at Coursera
/course/tsi-math-prep-55178,College Math Prep,university,4.0,848,coursera,education,unt,ratings at Coursera
/course/ods-y-sostenibilidad-una-mirada-desde-los-colegio-70665,ODS y sostenibilidad: una mirada desde los colegios,university,0.0,153,coursera,education,uniandes,ratings at Coursera
/course/language-arts-storybird-25483,Language Arts Confidence with Storybird,institution,0.0,73,coursera,education,project-network,ratings at Coursera
/course/student-collboration-25484,Encouraging Student Collaboration with Padlet,institution,0.0,37,coursera,education,project-network,ratings at Coursera
/course/enhance-learning-notepod-25485,Enhance Student Learning with Interactive Lessons in Nearpod,institution,0.0,28,coursera,education,project-network,ratings at Coursera
/course/literacy-teaching-learning-6760,"Literacy Teaching and Learning: Aims, Approaches and Pedagogies",university,4.5,239,coursera,education,illinois,ratings at Coursera
/course/academic-skills-project-6692,Academic Skills for University Success: Capstone,university,5.0,1309,coursera,education,sydney,ratings at Coursera
/course/study-in-japan-7172,Studying at Japanese Universities,university,5.0,156,coursera,education,todai,ratings at Coursera
/course/getinmooc-8415,Get Interactive: Practical Teaching with Technology,university,4.5,53,coursera,education,london,ratings at Coursera
/course/fe-exam-4434,Fundamentals of Engineering Exam Review,university,4.5,399,coursera,education,gatech,ratings at Coursera
/course/aprendizaje-universitario-introduccion-10749,Introducción al Aprendizaje Universitario,university,4.5,35,coursera,education,ucchile,ratings at Coursera
/course/leading-for-equity-diversity-inclusion-8736,"Leading for Equity, Diversity and Inclusion in Higher Education",university,4.5,20,coursera,education,umich,ratings at Coursera
/course/tinkering-circuits-8961,Tinkering Fundamentals: Circuits,institution,4.5,21,coursera,education,exploratorium,ratings at Coursera
/course/ensenar-ciencias-naturales-18163,La enseñanza de las Ciencias Naturales en la escuela primaria,university,5.0,19,coursera,education,austral,ratings at Coursera
/course/idea-of-a-university-19255,大學之理念 (The Idea of a University),university,0.0,58,coursera,education,taiwan,ratings at Coursera
/course/ninosaudiovisualdigital-20400,Niños y Adolescentes en la cultura audiovisual y digital,university,5.0,207,coursera,education,ucchile,ratings at Coursera
/course/inclusive-online-teaching-21160,Inclusive Online Teaching Teach-Out,university,4.5,207,coursera,education,jhu,ratings at Coursera
/course/facilitate-online-discussions-with-eduflow-22424,Facilitate Online Discussions with Eduflow,institution,0.0,3746,coursera,education,project-network,ratings at Coursera
/course/glasscock-22026,English and Academic Preparation - Pre-Collegiate,university,4.5,50,coursera,education,rice,ratings at Coursera
/course/actively-learn-32645,Increase Reading Comprehension with Actively Learn,institution,0.0,31,coursera,education,project-network,ratings at Coursera
/course/student-books-32643,Create Student Books with Book Creator,institution,0.0,131,coursera,education,project-network,ratings at Coursera
/course/assessment-boom-learning-32644,Utilizing Engaging Assessment with Boom Learning,institution,0.0,761,coursera,education,project-network,ratings at Coursera
/course/evaluating-with-socrative-25341,Evaluating Student Understanding with Socrative,institution,0.0,329,coursera,education,project-network,ratings at Coursera
